Title,Author,ISBN13,My Rating,Average Rating,Publisher,Number of Pages,Year Published
Mother Night,Kurt Vonnegut Jr.,9780385334143,4,4.22,Dial Press,282,1999
The Final Girl Support Group,Grady Hendrix,9780593201237,3,3.53,Berkley,352,2021
The Outsider,Stephen King,9781501180989,3,4.00,Scribner,561,2018
Story of Your Life,Ted Chiang,,5,4.47,,46,
Six Crimson Cranes (Six Crimson Cranes #1),Elizabeth Lim,,2,4.23,Knopf Books for Young Readers ,464,2021
Slaughterhouse-Five,Kurt Vonnegut Jr.,9780385333849,5,4.09,Dial Press,275,1999
They Both Die at the End,Adam Silvera,9780062457790,2,3.78,Quill Tree Books,389,2017
No Longer Human,Osamu Dazai,,3,4.02,New Directions,177,1958
1984,George Orwell,,5,4.19,Houghton Mifflin Harcourt,298,2013
Project Hail Mary,Andy Weir,9780593135204,5,4.52,Ballantine Books,476,2021
The Long Walk,Richard Bachman,9780451196712,4,4.09,Berkley,370,1999
A Little Life,Hanya Yanagihara,,5,4.34,Doubleday,720,2015
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,9780385534253,4,4.14,Doubleday,359,2017
Humankind: A Hopeful History,Rutger Bregman,9780316418539,5,4.33,"Little, Brown and Company",462,2020
"Thunderhead (Arc of a Scythe, #2)",Neal Shusterman,9781442472457,4,4.41,Simon & Schuster Books for Young Readers,504,2018
"Scythe (Arc of a Scythe, #1)",Neal Shusterman,,3,4.33,Simon Schuster Books for Young Readers,435,2016
Norwegian Wood,Haruki Murakami,9780375704024,3,4.02,Vintage Books,296,2000
Three Days of Happiness,Sugaru Miaki,,5,4.36,,223,
Sharp Objects,Gillian Flynn,,4,4.01,Broadway Paperbacks,254,2007
We Were Liars,E. Lockhart,,3,3.68,Delacorte Press,242,2014
The Alchemist,Paulo Coelho,9780062315007,2,3.90,HarperOne,182,2014
"The Death Cure (The Maze Runner, #3)",James Dashner,9780385738774,3,3.78,Delacorte Books for Young Readers,325,2011
"Ready Player Two (Ready Player One, #2)",Ernest Cline,9781524761332,2,3.43,Ballantine Books,370,2020
The End of Everything (Astrophysically Speaking),Katie  Mack,,3,4.26,Scribner,237,2020
Catch-22,Joseph Heller,9780684833392,5,3.99,Simon & Schuster ,453,2004
The Extinction Trials,A.G. Riddle,9781940026312,2,4.01,Legion Books,349,2021
"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,9780812550757,4,4.09,Tor Books,382,1994
"Billion Dollar Whale: The Man Who Fooled Wall Street, Hollywood, and the World",Tom         Wright,9780316436502,4,4.07,Hachette Books,400,2018
Between the World and Me,Ta-Nehisi Coates,,4,4.40,Spiegel & Grau,152,2015
Homo Deus: A History of Tomorrow,Yuval Noah Harari,,4,4.21,Harper,450,2017
The Road,Cormac McCarthy,9780307265432,4,3.98,Alfred A. Knopf,241,2006
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,9780812550702,5,4.31,Tor,324,2004
"Metro 2033 (Metro, #1)",Dmitry Glukhovsky,9781481845700,5,4.01,Gollancz,458,2013
The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,9780393337013,4,4.11,W. W. Norton & Company,248,2009
"Metro 2034 (Metro, #2)",Dmitry Glukhovsky,9783453533011,3,3.50,Heyne,526,2009
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,,4,4.23,Anchor Books,368,1999
"Metro 2035 (Metro, #3)",Dmitry Glukhovsky,9781539930723,4,3.94,CreateSpace Independent Publishing Platform,497,2016
Astrophysics for People in a Hurry,Neil deGrasse Tyson,9780393609394,2,4.08,W. W. Norton & Company,223,2017
The Martian,Andy Weir,9780804139021,5,4.41,Ballantine Books,384,2014
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,9780739467350,4,4.04,W.W. Norton & Company,498,2005
Where the Crawdads Sing,Delia Owens,9780735219113,5,4.40,G.P. Putnam’s Sons,384,2018
Sapiens: A Brief History of Humankind,Yuval Noah Harari,,5,4.37,Vintage,512,2015
Gone Girl,Gillian Flynn,,5,4.12,Broadway Books,456,2014
"Rise to Rebellion (The American Revolutionary War, #1)",Jeff Shaara,,5,4.21,,512,
Artemis,Andy Weir,9780553448122,4,3.69,Crown,305,2017
"The Maze Runner (The Maze Runner, #1)",James Dashner,9780385737944,4,4.05,Delacorte Press,384,2009
"The Scorch Trials (The Maze Runner, #2)",James Dashner,9780385738750,3,3.90,Delacorte Press,362,2010
"The Kill Order (The Maze Runner, #0.4)",James Dashner,9780385742887,3,3.71,Delacorte Books for Young Readers,327,2012
"The Fever Code (The Maze Runner, #0.5)",James Dashner,9780553513097,4,4.05,Delacorte Press,347,2016
World War Z: An Oral History of the Zombie War,Max Brooks,9780307346605,5,4.02,Crown,342,2006
"Dune (Dune, #1)",Frank Herbert,9780593099322,5,4.26,Ace,658,2019
"Dune Messiah (Dune, #2)",Frank Herbert,9780593098233,4,3.89,Ace,337,2019
"Children of Dune (Dune, #3)",Frank Herbert,9780593098240,3,3.96,Ace,609,2019
"God Emperor of Dune (Dune, #4)",Frank Herbert,9780593098257,4,3.88,Ace,587,2019
Twelve Years a Slave,Solomon Northup,9780989794800,5,4.21,Eakin Films & Publishing,363,2013
Fight Club,Chuck Palahniuk,9780393355949,4,4.19,W. W. Norton & Company,224,2018
"Heretics of Dune (Dune, #5)",Frank Herbert,9780593098264,3,3.87,Ace,669,2019
A Clockwork Orange,Anthony Burgess,9780393341768,4,4.00,W. W. Norton & Company,240,2019
"Ready Player One (Ready Player One, #1)",Ernest Cline,9780307887436,4,4.23,Crown Publishers,374,2011
"Chapterhouse: Dune (Dune, #6)",Frank Herbert,9780593098271,3,3.90,Ace,624,2019
Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,,5,4.63,One World,336,2014
The Queen's Gambit,Walter Tevis,9781400030606,4,4.19,Vintage,258,2003
Bobby Fischer Goes to War: How the Soviets Lost the Most Extraordinary Chess Match of All Time,David Edmonds,9780060510244,4,3.90,Ecco,368,2004
